Condition,Conversation,Speaker1,Speaker2,RR,DET
chatgpt5_chats,chat1_chatgpt,Colin,Taylor,0.00113862462048895,0.07840616966580977
chatgpt5_chats,chat2_chatgpt,Courtney,Taylor,0.0012968146371765078,0.09351145038167939
chatgpt5_chats,chat3_chatgpt,Halia,Taylor,0.0013714948616375812,0.1225296442687747
chatgpt5_chats,chat4_chatgpt,Allison,Taylor,0.001549296748320315,0.14328210213187903
chatgpt5_chats,chat5_chatgpt,Christian,Taylor,0.001168065232698824,0.07410491257285595
chatgpt5_chats,chat6_chatgpt,Phillip,Taylor,0.0014134137897830702,0.08840227088402271
chatgpt5_chats,chat7_chatgpt,Kelby,Taylor,0.001707348952717054,0.06539074960127592
chatgpt5_chats,chat8_chatgpt,Fia,Taylor,0.0012803605093512605,0.04963235294117647
chatgpt5_chats,chat9_chatgpt,Aastha,Taylor,0.0012048192771084338,0.0855421686746988
claude_haiku-45_chats,chat1_claudehaiku,Colin,Taylor,0.0010421910371570804,0.0846286701208981
claude_haiku-45_chats,chat2_claudehaiku,Courtney,Taylor,0.001580609095490048,0.12391033623910336
claude_haiku-45_chats,chat3_claudehaiku,Thalia,Taylor,0.0016128352167313206,0.07770515613652869
claude_haiku-45_chats,chat4_claudehaiku,Allison,Taylor,0.0013077498710413321,0.10617283950617284
claude_haiku-45_chats,chat5_claudehaiku,Christian,Taylor,0.00168307320957956,0.12804878048780488
claude_haiku-45_chats,chat6_claudehaiku,Phillip,Taylor,0.0010557726861645969,0.07830188679245283
claude_haiku-45_chats,chat7_claudehaiku,Kelby,Taylor,0.001499236975518421,0.11177347242921014
claude_haiku-45_chats,chat8_claudehaiku,Fia,Taylor,0.001253180839189627,0.05906735751295337
claude_haiku-45_chats,chat9_claudehaiku,Aastha,Taylor,0.0016683301663439297,0.10749185667752444
human_chats,chat1,Kelby,halia,0.002554606401384083,0.19576719576719576
human_chats,chat2,Courtney,fia,0.002836407876867361,0.07231920199501247
human_chats,chat3,Ohil,Allison,0.0021551466098346525,0.1
human_chats,chat4,Colin,Kochies1,0.002859967516418332,0.19135802469135801
human_chats,chat5,Kelby,Kochies1,0.0017794154698916604,0.13274336283185842
human_chats,chat6,Halia,Allison,0.003544536271808999,0.14766839378238342
human_chats,chat7,Colin,fia,0.0026863298703434665,0.09438775510204081
human_chats,chat8,Ohil,Aastha,0.0019393889903949208,0.13157894736842105
